Time (s), Cell Name, Value
243.84226, C034, 2730.458
245.69448, C034, 590.6892
254.15462, C034, 425.7236
255.65642, C034, 548.0982
256.90792, C034, 1498.08
259.26074, C034, 292.0313
114.98782, C035, 2320.897
115.43836, C035, 1704.679
129.30498, C035, 527.3477
135.96296, C035, 1626.862
139.81758, C035, 1291.194
140.81878, C035, 2589.82
143.07148, C035, 2163.553
147.07628, C035, 1748.464
155.13594, C035, 3898.161
222.16628, C035, 630.9928
229.67528, C035, 825.1304
236.73374, C035, 995.4581
265.91872, C035, 1332.931
107.72912, C036, 448.6451
166.14914, C036, 726.6573
167.9513, C036, 392.8081
172.65694, C036, 531.9875
173.80832, C036, 647.218
182.36858, C036, 1543.693
185.02176, C036, 3091.117
200.13988, C036, 805.4882
201.14108, C036, 654.8168
203.29366, C036, 431.057
204.84552, C036, 621.138
214.65728, C036, 1096.723
215.0077, C036, 553.022
223.16748, C036, 1089.887
223.61802, C036, 459.4995
227.12222, C036, 1867.33
231.32726, C036, 395.3452
231.47744, C036, 755.4004
308.66996, C036, 1022.561
309.72122, C036, 973.7551
311.32314, C036, 1162.824
312.57464, C036, 698.3044
73.73838000000001, C037, 407.4645
87.605, C037, 423.5392
88.1056, C037, 937.7597
113.98662, C037, 1745.497
114.73752, C037, 2491.421
120.8949, C037, 397.4566
121.09514, C037, 1394.633
121.59574, C037, 1468.254
121.84604, C037, 370.3821
133.960559, C037, 1354.985
134.6614, C037, 1742.331
135.81278, C037, 1503.547
138.06548, C037, 1339.319
139.11674, C037, 1192.271
140.61854, C037, 633.5452
141.21926, C037, 1243.685
142.97136, C037, 492.3167
143.12154, C037, 986.4556
145.22406, C037, 1953.937
147.97736, C037, 474.848
149.82958, C037, 1367.82
152.58288, C037, 2029.298
155.03582, C037, 1561.552
156.63774, C037, 1629.119
41.90022, C038, 643.7383
44.20298, C038, 1958.766
114.18686, C038, 1109.843
115.03788, C038, 880.6243
135.162, C038, 3491.931
143.07148, C038, 1184.656
183.4699, C038, 1639.782
185.37218, C038, 787.2938
192.9813, C038, 1397.24
205.59642, C038, 1632.915
310.27188, C038, 1160.17
3.7545, C039, 1213.388
6.5078, C039, 742.8855
30.63672, C039, 787.9351
53.86456, C039, 709.8257
58.92062, C039, 759.364
